1000,0,0.3048,71.3,0.00266337,125.201
1250,0,0.3048,71.3,0.00266337,125.951
1250,0,0.3048,55.5,0.00283081,126.086
1600,0,0.3048,55.5,0.00283081,126.986
8000,0,0.3048,55.5,0.00283081,116.476
200,0,0.3048,39.6,0.00310138,118.129
500,0,0.3048,39.6,0.00310138,126.959
630,0,0.3048,39.6,0.00310138,128.629
800,0,0.3048,39.6,0.00310138,129.099
1600,0,0.3048,39.6,0.00310138,124.049
8000,0,0.3048,39.6,0.00310138,114.779
10000,0,0.3048,39.6,0.00310138,112.139
12500,0,0.3048,39.6,0.00310138,109.619
400,0,0.3048,31.7,0.00331266,125.045
1250,0,0.3048,31.7,0.00331266,124.355
8000,0,0.3048,31.7,0.00331266,110.515
1250,1.5,0.3048,71.3,0.00336729,125.872
2500,1.5,0.3048,71.3,0.00336729,124.512
500,1.5,0.3048,39.6,0.00392107,126.661
630,1.5,0.3048,39.6,0.00392107,128.311
1000,1.5,0.3048,39.6,0.00392107,127.581
2000,1.5,0.3048,39.6,0.00392107,122.101
5000,1.5,0.3048,39.6,0.00392107,116.241
400,3,0.3048,71.3,0.00425727,127.564
5000,3,0.3048,71.3,0.00425727,118.134
800,3,0.3048,55.5,0.00452492,129.949
1600,3,0.3048,55.5,0.00452492,124.439
3150,3,0.3048,55.5,0.00452492,120.189
500,3,0.3048,39.6,0.00495741,127.632
5000,3,0.3048,39.6,0.00495741,115.792
8000,3,0.3048,39.6,0.00495741,110.652
3150,3,0.3048,31.7,0.00529514,118.108
315,4,0.3048,71.3,0.00497773,128.175
3150,4,0.3048,71.3,0.00497773,121.775
6300,4,0.3048,71.3,0.00497773,116.165
8000,4,0.3048,71.3,0.00497773,113.665
10000,4,0.3048,71.3,0.00497773,110.905
400,4,0.3048,39.6,0.00579636,128.633
630,4,0.3048,39.6,0.00579636,131.073
3150,4,0.3048,39.6,0.00579636,118.743
1600,0,0.2286,71.3,0.00214345,129.134
4000,0,0.2286,71.3,0.00214345,125.824
8000,0,0.2286,71.3,0.00214345,118.024
10000,0,0.2286,71.3,0.00214345,118.134
1000,0,0.2286,55.5,0.00229336,128.290
1600,0,0.2286,55.5,0.00229336,126.790
2000,0,0.2286,55.5,0.00229336,126.540
3150,0,0.2286,55.5,0.00229336,125.160
500,0,0.2286,39.6,0.00253511,126.195
1250,0,0.2286,39.6,0.00253511,129.395
5000,0,0.2286,39.6,0.00253511,122.175
6300,0,0.2286,39.6,0.00253511,117.465
400,0,0.2286,31.7,0.0027238,123.635
800,0,0.2286,31.7,0.0027238,130.725
1250,0,0.2286,31.7,0.0027238,128.805
1600,0,0.2286,31.7,0.0027238,125.625
2000,0,0.2286,31.7,0.0027238,123.455
5000,0,0.2286,31.7,0.0027238,120.505
500,2,0.2286,71.3,0.00293031,126.486
1250,2,0.2286,71.3,0.00293031,128.816
2500,2,0.2286,71.3,0.00293031,127.006
5000,2,0.2286,71.3,0.00293031,122.816
400,2,0.2286,55.5,0.00313525,122.292
500,2,0.2286,55.5,0.00313525,124.692
630,2,0.2286,55.5,0.00313525,126.842
315,2,0.2286,39.6,0.00346574,120.137
1000,2,0.2286,39.6,0.00346574,129.147
3150,2,0.2286,39.6,0.00346574,121.627
6300,2,0.2286,39.6,0.00346574,116.417
800,2,0.2286,31.7,0.00372371,130.307
1000,2,0.2286,31.7,0.00372371,130.307
